"","x"
"1995-07-31",-1035055
"1995-08-02",-2398667
"1995-08-04",1440880
"1995-08-07",-705180
"1995-08-15",164106.31859998
"1995-08-17",-1026775
"1995-08-18",-375275
"1995-09-07",-359799.999999999
"1995-09-13",-511499.999999998
"1995-09-20",-74332.5000000007
"1995-09-21",1433187.35599999
"1995-09-25",138713.16274476
"1995-09-27",-115600.75006697
"1995-09-28",954100
"1995-10-06",-187565
"1995-10-11",-1191450
"1995-10-19",-674969.999999998
"1995-10-20",-1088320
"1995-10-26",4302572.49999999
"1995-10-27",-469437.577327731
"1995-11-01",-384299.999999999
"1995-11-09",-559480
"1995-11-10",-440039.999999997
"1995-11-15",950255
"1995-11-16",-778050.000000001
"1995-11-28",-550399.999999999
"1995-12-01",1841127.84479999
"1995-12-11",139200
"1995-12-18",344835
"1995-12-19",-173810.630194706
"1995-12-22",2204280
"1995-12-28",91120.0000000001
"1996-01-02",-597380
"1996-01-03",-156537.446625109
"1996-01-04",-900900
"1996-01-05",2038597.5
"1996-01-08",1670815
"1996-01-09",-591600
"1996-01-11",-1452208.8
"1996-01-19",-337080
"1996-01-23",1226751.2024
"1996-01-29",-897825.010600017
"1996-01-31",627411.26726073
"1996-02-01",-754549.999999999
"1996-02-05",185245.000000001
"1996-02-07",-612000.000000006
"1996-02-09",549179.999999997
"1996-02-14",-315500.000000001
"1996-02-19",-801866.643895153
"1996-02-20",-438832.500000012
"1996-02-21",-230207.2578
"1996-02-22",-468720
"1996-02-26",-784932.5
"1996-03-11",-276342.914837416
"1996-04-16",880584.400000001
"1996-04-26",-1030301.91900084
"1996-04-30",5458910
"1996-05-02",308718.03375
"1996-05-03",-541602.483052711
"1996-05-07",-390669.256800001
"1996-05-08",-354194.999999996
"1996-05-16",1404480
"1996-05-17",-1808115
"1996-05-20",-368399.999999999
"1996-05-29",-190050
"1996-06-06",101645.180203135
"1996-06-11",-762120
"1996-06-27",134294.999999999
"1996-07-01",-687599.999999999
"1996-07-05",-257062.499999999
"1996-07-08",-600410.4808
"1996-07-11",1484190
"1996-07-15",405405.000000001
"1996-07-16",-601580.000000012
"1996-07-17",125812.5
"1996-07-18",-558960
"1996-07-31",477839.999999998
"1996-08-01",-1280366.10341622
"1996-08-05",111519.999999999
"1996-08-06",-399959.999999998
"1996-08-12",-617555
"1996-08-13",1206200
"1996-08-19",272800
"1996-08-22",-483240.695175
"1996-09-04",-21461.2697392452
"1996-09-06",-596347.500000001
"1996-09-11",1093542
"1996-09-13",-741091.285
"1996-09-17",-701099.999999999
"1996-09-18",-180735.970128571
"1996-09-27",-722999.999999997
"1996-09-30",-679900
"1996-10-08",-186202.5
"1996-10-16",193154.555999977
"1996-10-22",-4.23460733145475e-09
"1996-10-30",-248909.499433984
"1996-10-31",1418840
"1996-11-01",151528.988387578
"1996-11-07",827260
"1996-11-11",85950
"1996-11-13",452610.000000002
"1996-11-15",123845.000000001
"1996-11-18",-507255.000000009
"1996-11-19",-272916
"1996-11-25",1062165
"1996-12-03",1563440
"1996-12-05",-466620
"1996-12-06",-374101.477455187
"1996-12-09",571688.086008397
"1996-12-11",1339882.15
"1996-12-12",832867.5
"1996-12-27",-1173640
"1997-01-02",46709.9999999823
"1997-01-07",-35657.5
"1997-01-10",-306194.999999997
"1997-01-14",-735020
"1997-01-15",1251045.00269503
"1997-01-24",-1553441.6
"1997-01-29",-58598.1948307154
"1997-01-30",-585360
"1997-02-04",1781120
"1997-02-12",1036160
"1997-02-20",2847399.99999999
"1997-02-21",-367717.5
"1997-02-25",-639600.000000001
"1997-02-27",1750027.5
"1997-03-05",2299550
"1997-03-07",-671802.191199983
"1997-03-12",-436580
"1997-03-17",-758122.036207415
"1997-03-18",3747607.50000001
"1997-03-19",-812446.084633325
"1997-03-20",760066.014803883
"1997-03-26",-504629.999999998
"1997-04-01",-796640
"1997-04-04",-1404430
"1997-04-07",239700.000000004
"1997-04-11",1593410
"1997-04-18",-563674.17277068
"1997-04-30",-186711.25
"1997-05-02",396000.000000003
"1997-05-05",-510300
"1997-05-08",-185377.5
"1997-05-09",449189.999999997
"1997-05-12",-1104208.2
"1997-05-22",-387939.779182233
"1997-05-23",-575640
"1997-06-02",452847.374404107
"1997-06-13",1181250
"1997-06-16",-287212
"1997-06-18",-433650
"1997-06-20",-518138.453632638
"1997-06-24",39159.9999999991
"1997-06-25",-43599.9999999976
"1997-07-02",-460980
"1997-07-03",-853020.000000001
"1997-07-07",-147074.133097158
"1997-07-14",-262117.500000001
"1997-07-18",930740.000000003
"1997-07-22",-419240
"1997-07-28",-611324.999999999
"1997-07-30",-754988.800000001
"1997-07-31",395280.000000001
"1997-08-05",-446332.75
"1997-08-07",489199.799251047
"1997-08-15",779918.037410029
"1997-08-18",-920700
"1997-08-20",161499.999999998
"1997-08-26",-412719.999999997
"1997-09-08",-540960
"1997-09-24",-464816
"1997-10-01",-543660.000000003
"1997-10-07",1860170
"1997-10-09",922245.332260202
"1997-10-10",674475.000000058
"1997-10-15",-74025.0000000003
"1997-10-21",-852750
"1997-10-23",-526108.629222143
"1997-10-24",-673200
"1997-10-27",-1376900
"1997-10-29",-952510
"1997-10-30",-461102.985349998
"1997-11-03",-277720.000000002
"1997-11-04",-366960
"1997-11-10",-106597.5
"1997-11-14",-1353274.99999997
"1997-11-17",972338.804403399
"1997-11-28",-255780.000000002
"1997-12-04",-465870
"1997-12-17",1456650
"1997-12-24",1098630
"1998-01-02",626079.999999999
"1998-01-06",1625040
"1998-01-09",-644164.753338438
"1998-01-14",-545225
"1998-01-16",-648874.523997304
"1998-01-20",556600
"1998-01-23",804895
"1998-01-26",2165935.4
"1998-01-27",578159.999999999
"1998-01-28",203034.000000001
"1998-02-05",1873250.00000001
"1998-02-09",-418319.999999999
"1998-02-18",-169455
"1998-02-19",-24330.0000000161
"1998-03-02",-1188190
"1998-03-04",146740.433048809
"1998-03-19",-20472.6312000045
"1998-03-23",-74680.7999999999
"1998-03-26",732480.000000001
"1998-03-30",92250
"1998-04-09",1897940
"1998-04-14",142480.000000003
"1998-04-23",948259.250772322
"1998-04-24",-453114.768995285
"1998-04-27",952270.000000002
"1998-04-28",-308500
"1998-05-01",-590100.000000002
"1998-05-06",-650407.500000001
"1998-05-13",-866400.000000001
"1998-05-14",-516547.39016404
"1998-05-20",1636200
"1998-05-27",-568137.5
"1998-06-05",864637.000000001
"1998-06-17",601657.000686381
"1998-06-19",-278805
"1998-06-23",1470600
"1998-06-24",11796.8
"1998-07-09",737849.226362071
"1998-07-13",-648900.000000001
"1998-07-15",146780
"1998-07-16",33247.4999999986
"1998-07-17",-370240
"1998-07-21",135159.999999999
"1998-07-28",-210195
"1998-07-29",-20168.5975000046
"1998-07-31",387450
"1998-08-19",-235963.133371215
"1998-08-27",-844739.999999999
"1998-08-31",-799155
"1998-09-01",3255980
"1998-09-03",-442956.199999998
"1998-09-10",208929.999999999
"1998-09-21",920947.5
"1998-09-28",1000195
"1998-10-07",1575520
"1998-10-08",2816270
"1998-10-09",71353.4370752616
"1998-10-12",-776650.000000001
"1998-10-15",-571650
"1998-10-16",190435.108548399
"1998-10-20",-752235.998458116
"1998-10-21",103095
"1998-10-26",-427024.999999998
"1998-11-02",5292347.50000004
"1998-11-04",165863.764000024
"1998-11-09",-559980
"1998-11-18",-967680
"1998-11-19",-284819.999999999
"1998-12-04",-563760
"1998-12-09",-546350
"1998-12-16",-644514
"1998-12-29",440299.999999997
"1999-01-04",-663079.999999998
"1999-01-06",-287012.5
"1999-01-07",-1100611.2
"1999-01-13",-127597.5
"1999-01-14",38539.9999999987
"1999-01-25",1178311.85325195
"1999-01-28",1373399
"1999-02-04",-12577.838281123
"1999-02-08",686017.500000001
"1999-02-09",1069390.3499084
"1999-02-24",-870240
"1999-02-25",257869.599999999
"1999-03-01",-1550350.71810289
"1999-03-03",-701484.634499989
"1999-03-04",-664000.000000001
"1999-03-05",1063550
"1999-03-08",-890729.999999998
"1999-03-09",-571264.999999968
"1999-03-10",1928287.5
"1999-03-12",-115800
"1999-03-16",761515
"1999-03-23",-267140
"1999-04-06",413220
"1999-04-13",-486143.111216013
"1999-04-19",-757640
"1999-04-23",437980
"1999-04-29",-203059.999999998
"1999-05-04",-708340.000000002
"1999-05-17",3296.18492537827
"1999-05-18",-345803.800000001
"1999-05-24",-441797.5
"1999-05-25",-1008380
"1999-05-26",269279.999999998
"1999-05-27",-363660
"1999-06-01",63323.0559249983
"1999-06-03",-277245
"1999-06-11",94245.0000000038
"1999-06-15",-11380.0000000002
"1999-06-21",-491040
"1999-07-12",477730
"1999-07-19",500962.500000003
"1999-07-20",-533279.999999999
"1999-07-21",1695190
"1999-07-22",164976.822561883
"1999-07-23",40589.9999999992
"1999-07-26",9450
"1999-07-27",2050048
"1999-07-30",898059.999999999
"1999-08-02",-713900.000000001
"1999-08-12",1325520
"1999-08-13",348586.5053417
"1999-08-19",992978.537268273
"1999-08-24",-668455.625
"1999-08-31",215280
"1999-09-03",-538560
"1999-09-07",-414919.999999999
"1999-09-08",-405752.500000008
"1999-09-21",-958929.999999999
"1999-09-30",1094100
"1999-10-06",644490
"1999-10-07",923649.599999998
"1999-10-08",-737572.500000002
"1999-10-14",-867349.999999999
"1999-10-15",-427500
"1999-10-19",-302599.999999999
"1999-10-22",-1193062.11679997
"1999-10-26",-766570
"1999-10-27",-232962.999999997
"1999-10-28",-759768.872505936
"1999-10-29",-1504407.52804619
"1999-11-04",-569140.410921371
"1999-11-24",277200.000000001
"1999-11-30",-240452.199999999
"1999-12-09",-482838.577211797
"1999-12-13",-702000
"1999-12-23",-251699.999999996
"2000-01-04",1864070
"2000-01-05",-1852123.93401016
"2000-01-06",122100
"2000-01-07",-671000
"2000-01-10",480940
"2000-01-12",-408135
"2000-01-18",-689920
"2000-01-19",287595
"2000-01-20",-811200
"2000-01-25",-916230.152103312
"2000-01-26",-293760.000000001
"2000-01-28",-706500
"2000-02-03",81885.9375
"2000-02-14",-252339.999999999
"2000-02-18",1381650
"2000-02-22",-933879.500000002
"2000-02-23",10660300
"2000-02-24",261960.000000035
"2000-03-01",-304225
"2000-03-06",-973507.5
"2000-03-08",1335840
"2000-03-13",-122479.521471709
"2000-03-14",1003492.8
"2000-03-17",-599079.999999999
"2000-03-21",-599816.762400013
"2000-03-23",-281324.999999999
"2000-03-28",-661740
"2000-04-03",297480
"2000-04-05",-708169.123999972
"2000-04-14",-1380808.13838705
"2000-04-25",-338250
"2000-04-27",-748552.5
"2000-05-03",-495360
"2000-05-05",1674229.99999994
"2000-05-09",-392700
"2000-05-16",-832840
"2000-05-25",-218160
"2000-05-26",-1081666.18708993
"2000-05-30",2549975.49999999
"2000-06-01",-424469.70169734
"2000-06-02",-1226374.80833062
"2000-06-06",-1050710
"2000-06-07",2878439.99999999
"2000-06-14",-955244.157999954
"2000-07-10",114540
"2000-07-14",-1100912.25668
"2000-07-17",-207000
"2000-07-19",-791520
"2000-07-20",-154800
"2000-07-21",563719.456710613
"2000-08-03",1287700
"2000-08-07",-278171.018149977
"2000-08-15",-513861.335293861
"2000-08-16",-923483.800256521
"2000-08-22",-332714.365849773
"2000-08-24",144795
"2000-08-28",919520
"2000-08-29",668879.999999999
"2000-08-31",-1148063.50125007
"2000-09-01",-361839.11868
"2000-09-11",-536220
"2000-09-12",-112494.843230367
"2000-09-13",-59710.6818
"2000-09-15",1606046
"2000-09-21",596935.000000003
"2000-09-22",1291183.8
"2000-09-25",267520.000000001
"2000-09-27",-183040.000000001
"2000-09-29",973695
"2000-10-02",179360
"2000-10-09",-931140.000000002
"2000-10-10",-123366.717296401
"2000-10-16",-676330.4
"2000-10-19",-1023082.5
"2000-10-20",-185740
"2000-10-23",260369.999999999
"2000-10-24",-489063.46082
"2000-10-27",257574.81195
"2000-10-31",614522.1875
"2000-11-01",-997260.346799998
"2000-11-03",-592597.499999998
"2000-11-06",33557.8837012502
"2000-11-08",-611344.085839656
"2000-11-17",-239381
"2000-11-20",-446250
"2000-11-29",-696890
"2000-12-01",-173979.781490528
"2000-12-04",-527685
"2000-12-06",-45342.6496000054
"2000-12-12",1091520
"2000-12-13",2286200
"2000-12-15",2939172.52981927
"2000-12-28",2743199.99999996
"2000-12-29",-562325
"2001-01-03",-392920
"2001-01-04",-601520
"2001-01-10",6847378.26270536
"2001-01-12",749263.675797472
"2001-01-16",-210295.000000004
"2001-01-17",886379.999999999
"2001-01-18",-380460.000000001
"2001-01-22",1212775.8056
"2001-01-23",-312497.549875
"2001-01-24",-711975.000000001
"2001-01-25",1592775.93120001
"2001-01-29",354141.999999999
"2001-02-02",-309280.000000057
"2001-02-05",2061720
"2001-02-12",-1033900
"2001-02-26",-240799.999999997
"2001-02-28",-62399.9999999995
"2001-03-06",-1977606.2359531
"2001-03-08",-675291.999999999
"2001-03-12",-692535
"2001-03-19",1196573.43011097
"2001-03-26",765580.158025
"2001-03-27",2256784.19941671
"2001-03-29",-314533.246096593
"2001-04-02",-82255.2889599997
"2001-04-03",-810890
"2001-04-04",124599.999999999
"2001-04-06",-48160.0000000008
"2001-04-10",-643470
"2001-04-11",-5493793.63100288
"2001-04-12",521400
"2001-04-16",553085.000000002
"2001-04-17",-859200
"2001-04-18",792560
"2001-04-19",-1467933.9004
"2001-05-07",-886063.023250006
"2001-05-16",40320
"2001-05-18",-192569.999999997
"2001-05-21",-751890.000000001
"2001-05-25",1250416
"2001-05-31",-606800
"2001-06-12",675989.999999999
"2001-06-14",-601981.875
"2001-06-15",-207997.622639997
"2001-06-20",-563114.4
"2001-06-28",425367.499999992
"2001-07-05",-42772.5
"2001-07-06",-678598.036212508
"2001-07-10",518760
"2001-07-11",585565.054972163
"2001-07-13",-594300.000000001
"2001-07-20",450970
"2001-07-31",-561234.17296
"2001-08-01",299236.061490373
"2001-08-02",-540565.419480689
"2001-08-15",346480
"2001-08-23",1614095
"2001-08-27",958342.5
"2001-09-04",-1555082.68025003
"2001-09-05",-742341.926903354
"2001-09-10",-965010.000000001
"2001-09-17",-168444.999999997
"2001-09-18",704424.979563652
"2001-09-28",4128389.51974683
"2001-10-01",-656937.499420349
"2001-10-02",1115020
"2001-10-03",2729290.06025
"2001-10-04",818232.540335505
"2001-10-05",-477359.999999998
"2001-10-10",1833455.68412497
"2001-10-11",-490887.500000002
"2001-10-15",-388640
"2001-10-19",-19772.5
"2001-11-07",7690950
"2001-11-09",194220
"2001-11-12",-234960
"2001-11-14",3314722.59245354
"2001-11-15",3221492.60187751
"2001-11-16",3488210.00000004
"2001-11-29",-475800.000000001
"2001-11-30",-412335
"2001-12-03",837000
"2001-12-10",2949705
"2001-12-18",379689
"2001-12-19",447267.199999999
"2001-12-26",799289.999999999
"2002-01-02",-758670
"2002-01-09",-267662.5
"2002-01-22",-564980
"2002-01-24",-119232.499999998
"2002-01-28",-710950
"2002-01-29",-1523075
"2002-01-30",-887039.999999999
"2002-02-05",-558214.917
"2002-02-11",-505250
"2002-02-19",-215310
"2002-03-04",-514898.411624492
"2002-03-06",966000
"2002-03-07",-1355280
"2002-03-18",-600862.780800002
"2002-03-27",-1443349.45629419
"2002-04-04",-545110
"2002-04-08",-124729.080475001
"2002-04-10",-122442.5
"2002-04-11",-237303.757879987
"2002-04-12",-487401.875
"2002-04-15",-1101490.23048
"2002-04-26",-326435.248437294
"2002-04-30",780000.000000002
"2002-05-13",229810
"2002-05-14",8790
"2002-05-15",-174585
"2002-05-16",-161250
"2002-05-24",674880
"2002-05-28",-1700123.2
"2002-05-29",-658178.26137306
"2002-06-06",-593222.191267165
"2002-06-13",185590
"2002-06-14",1800929.99999999
"2002-06-17",812519.999999998
"2002-06-20",153045
"2002-06-21",-651510
"2002-06-24",-603806
"2002-06-27",-714000
"2002-06-28",182720.000000002
"2002-07-15",-1315750
"2002-07-23",2635394.99999999
"2002-07-26",2178622.5
"2002-07-29",5609828.37569738
"2002-07-31",2422717.85404
"2002-08-05",-739500.000000001
"2002-08-06",2798565
"2002-08-15",-590040
"2002-08-16",4013139.44154003
"2002-08-19",1998412.52888001
"2002-08-20",-304301.918643704
"2002-08-22",1829791.49100007
"2002-08-26",56800
"2002-09-10",-1485721.81936153
"2002-09-13",1607190
"2002-09-18",485665
"2002-09-30",-373160
"2002-10-04",-195000.650674106
"2002-10-11",6262912.50000002
"2002-10-15",3722153.27134481
"2002-10-17",2921617.2615
"2002-10-21",-157920.000000001
"2002-10-25",116470.400000001
"2002-10-29",-436080.000000002
"2002-11-01",-279307.5
"2002-11-04",-600780
"2002-11-07",-269700.000000001
"2002-11-25",3300113.03624984
"2002-11-26",-806080.000000001
"2002-11-27",-676301.843753455
"2002-12-02",-858745
"2002-12-13",-1250325
"2002-12-20",640000
"2002-12-30",-465929.999999999
"2003-01-02",206537.500000014
"2003-01-06",-315098.677044065
"2003-01-08",-274408.999999999
"2003-01-09",-384319.6875
"2003-01-13",-665210
"2003-01-29",-653310
"2003-02-07",-353009.999999999
"2003-02-10",-952747.5
"2003-02-11",2970090
"2003-02-13",-856110
"2003-02-14",-489979.513802752
"2003-02-18",1199515
"2003-03-04",-734820
"2003-03-06",-796860.000000001
"2003-03-12",1946999.99999999
"2003-03-13",4614237.76844948
"2003-03-14",6977250.60710664
"2003-03-17",-1692150
"2003-03-18",485649.06
"2003-03-19",-1572904.44855526
"2003-03-21",828749.392884079
"2003-03-26",39794.9999999999
"2003-04-01",-633652.5
"2003-04-03",3508080
"2003-05-05",-573801.070973887
"2003-05-06",-371716.238593236
"2003-05-07",-137270
"2003-05-14",1603420
"2003-05-16",-468480
"2003-05-20",1714100
"2003-05-21",-703390
"2003-05-28",1310960
"2003-06-02",696670
"2003-06-10",-794629.999999999
"2003-06-12",31279.9999999992
"2003-06-17",-687675
"2003-06-18",-169617.5
"2003-06-20",131598.899200003
"2003-06-23",1283827.30424993
"2003-06-24",-392119.205213786
"2003-06-25",-641899.99999995
"2003-06-26",-1046788.71495995
"2003-06-27",-156890.513750038
"2003-07-01",-42436.2358775699
"2003-07-08",1434590
"2003-07-10",-411600.000000001
"2003-07-17",59296.741997711
"2003-07-24",-1000581.62346292
"2003-07-28",-771247.5
"2003-08-05",-169134.999999999
"2003-09-02",-2079847.84857501
"2003-09-04",92235
"2003-09-08",-812556.837986446
"2003-09-09",-545447.499999997
"2003-09-10",-605165
"2003-09-12",-800639.999999999
"2003-09-15",710480
"2003-09-17",-299249.999999998
"2003-09-19",51385.0000000003
"2003-09-22",-680461.746113969
"2003-09-23",1321034.657
"2003-09-24",-527067.83624997
"2003-09-25",-154440.000000001
"2003-09-26",723421.810764309
"2003-10-03",-809060.000000001
"2003-10-09",-629370.000000001
"2003-10-22",-434061.599999999
"2003-10-23",2128484.21131244
"2003-10-31",2038300
"2003-11-03",25935
"2003-11-04",-936135
"2003-11-06",-6940.00000000153
"2003-11-07",380970
"2003-11-10",191764.559952216
"2003-11-17",2075760
"2003-11-18",-361620
"2003-11-19",-1409186.50202157
"2003-11-24",-793067.599999999
"2003-11-28",-1182912.70090077
"2003-12-02",-526000
"2003-12-12",-511019.695720688
"2003-12-19",-735639.999999997
"2003-12-22",2671104.6
"2004-01-13",-634920
"2004-01-15",1560535
"2004-01-16",3436015
"2004-01-23",-357540
"2004-01-29",-610517.599999999
"2004-02-02",-317790.973945271
"2004-02-04",-42350
"2004-02-05",-107301.445308636
"2004-02-10",-474320
"2004-02-20",3295110
"2004-02-24",603690.8597183
"2004-02-26",-690845
"2004-03-02",-972487.500000002
"2004-03-03",5024732.49999999
"2004-03-05",-226795.213031914
"2004-03-10",1234530
"2004-03-11",316345.136325242
"2004-03-17",-195328
"2004-03-18",-634365
"2004-03-22",-862944.475619658
"2004-03-24",-261025
"2004-03-29",-128960.000000001
"2004-04-01",626009.999999997
"2004-04-02",1891698.65578738
"2004-04-12",1336335
"2004-04-13",-222140
"2004-04-14",-945472.5
"2004-04-15",1307320
"2004-04-21",-174509.999999999
"2004-04-30",-219767.350884601
"2004-05-10",-1446167.05236455
"2004-05-13",124119.999999999
"2004-05-18",-172800.000000001
"2004-05-20",347593
"2004-05-21",268218.046436006
"2004-05-26",-576645.000000001
"2004-05-27",-1260707.5
"2004-06-02",-825915
"2004-06-04",201880
"2004-06-08",-1394915.93576966
"2004-06-15",933530.398814907
"2004-06-18",-674772.178448786
"2004-06-24",-761680.796787175
"2004-06-30",-215839.999999992
"2004-07-01",-369629.443001743
"2004-07-02",-2480368.51647755
"2004-07-15",-681404.384536762
"2004-07-23",-504710
"2004-07-27",-653730.000000002
"2004-07-29",-475577.499999999
"2004-08-03",-118250.833343576
"2004-08-09",-389760
"2004-08-12",852.000000000533
"2004-08-19",-12460
"2004-08-20",1011595
"2004-08-23",770687.5
"2004-08-25",43826.5625899372
"2004-09-01",-21600
"2004-09-03",-654534.369283951
"2004-09-07",-618363.75164598
"2004-09-13",621270
"2004-09-14",-1034208
"2004-09-15",114982.273164983
"2004-09-21",222560
"2004-09-24",-242500
"2004-10-07",109029.375
"2004-10-13",-546480
"2004-10-25",-184648.879433389
"2004-11-01",868366.599999999
"2004-11-02",189202.851653542
"2004-11-04",-597812.815752031
"2004-11-08",-1490817.27630909
"2004-11-10",-581362.5
"2004-11-12",-263640
"2004-11-17",15262.5
"2004-12-02",122523.92546855
"2004-12-08",1181277.50000013
"2004-12-10",523574.821405421
"2004-12-17",-665568.30981554
"2004-12-22",278161.526889838
"2004-12-29",2062443.54858395
"2005-01-04",1614800
"2005-01-05",1097640
"2005-01-06",265430
"2005-01-11",207900
"2005-01-18",-1592134.80078854
"2005-01-27",990752.648594861
"2005-02-07",-34622.5
"2005-02-14",-755425
"2005-02-18",-332626.034214011
"2005-02-22",934730
"2005-03-04",-143880
"2005-03-08",425320
"2005-03-16",-1422482.11042228
"2005-03-18",660431.602441955
"2005-03-21",237346.965274838
"2005-03-23",-1547765
"2005-03-29",120370.02153188
"2005-03-31",-678965
"2005-04-06",1283747.87499997
"2005-04-08",14059.9999999998
"2005-04-12",-472150
"2005-04-14",-313010
"2005-04-15",268690.700196629
"2005-04-18",763734.692342859
"2005-04-25",6300
"2005-04-26",-555096.063839216
"2005-05-09",-431365
"2005-05-16",255810.000000001
"2005-05-23",-1004850
"2005-06-06",-503430
"2005-06-08",-374480
"2005-06-13",-1128411.91174675
"2005-06-14",-408658.125
"2005-06-15",413848.741822025
"2005-06-27",195295
"2005-07-01",-555750
"2005-07-05",-1157356.17133307
"2005-07-08",-48679.3491941689
"2005-07-11",-721293.699257629
"2005-07-12",-707701.457823763
"2005-07-20",-891190.200000001
"2005-07-21",-1472625
"2005-07-25",-553230
"2005-07-29",-604890
"2005-08-01",-571385.927916908
"2005-08-02",-745048.606376639
"2005-08-03",2218875
"2005-08-11",335617.5
"2005-08-12",-253679.999999969
"2005-08-16",-575300
"2005-08-19",1021838.04102781
"2005-08-23",-167360
"2005-08-24",-222639.999999999
"2005-08-25",1584718.81733418
"2005-08-26",855993.511617478
"2005-08-30",-913319.999999998
"2005-08-31",388679.999999998
"2005-09-01",-1345482.75755527
"2005-09-06",-304920.000000001
"2005-09-07",-92623.1999999999
"2005-09-12",-220639.999999996
"2005-09-22",-822460.000000001
"2005-09-26",-580422.067292435
"2005-09-29",-246686.226997387
"2005-09-30",-243177.5
"2005-10-06",2129743.06181317
"2005-10-07",-152418.981142042
"2005-10-13",-164043.778917791
"2005-10-31",2196400.00000001
"2005-11-01",383200.000000001
"2005-11-14",77760.0000000004
"2005-11-17",489781.6826074
"2005-11-22",40904.0625000133
"2005-11-23",-251008
"2005-11-24",934556.108932482
"2005-12-02",-518838.054976466
"2005-12-12",-583550.000000001
"2005-12-13",1003992.5
"2005-12-14",4481365
"2005-12-15",1485769.55821709
"2005-12-19",-1287080.57863592
"2005-12-20",100640
"2005-12-22",-686960
"2005-12-30",144300
"2006-01-03",-346079.999999999
"2006-01-04",-1005730
"2006-01-17",-214089.256505259
"2006-01-18",-210066
"2006-01-20",-1324682.78955808
"2006-01-23",294138.688908808
"2006-01-26",-500863.10252071
"2006-02-03",2970894.4716453
"2006-02-10",-191779.999999999
